date;hour;value
16/01/2022;21;265
16/01/2022;22;95
16/01/2022;23;78
16/01/2022;24;15
17/01/2022;9;331
17/01/2022;10;880
17/01/2022;11;974
17/01/2022;12;1.077
17/01/2022;13;917
17/01/2022;14;742
17/01/2022;15;740
17/01/2022;16;719
17/01/2022;17;868
17/01/2022;18;883
17/01/2022;19;775
17/01/2022;20;549
17/01/2022;21;367
17/01/2022;22;205
17/01/2022;23;74
17/01/2022;24;23
18/01/2022;9;301
18/01/2022;10;907
18/01/2022;11;936
18/01/2022;12;1.018
18/01/2022;13;850
18/01/2022;14;720
18/01/2022;15;791
18/01/2022;16;759
18/01/2022;17;808
18/01/2022;18;728
18/01/2022;19;797
18/01/2022;20;610
18/01/2022;21;360
18/01/2022;22;189
18/01/2022;23;77
18/01/2022;24;22
19/01/2022;9;228
19/01/2022;10;715
19/01/2022;11;889
19/01/2022;12;854
19/01/2022;13;779
19/01/2022;14;533
19/01/2022;15;612
19/01/2022;16;702
19/01/2022;17;786
19/01/2022;18;730
19/01/2022;19;674
19/01/2022;20;516
19/01/2022;21;311
19/01/2022;22;174
19/01/2022;23;77
19/01/2022;24;16
20/01/2022;9;260
20/01/2022;10;584
20/01/2022;11;803
20/01/2022;12;806
20/01/2022;13;711
20/01/2022;14;580
20/01/2022;15;547
20/01/2022;16;589
20/01/2022;17;643
20/01/2022;18;671
20/01/2022;19;649
20/01/2022;20;392
20/01/2022;21;246
20/01/2022;22;469
20/01/2022;23;202
20/01/2022;24;22
21/01/2022;9;207
21/01/2022;10;669
21/01/2022;11;678
21/01/2022;12;759
21/01/2022;13;677
21/01/2022;14;564
21/01/2022;15;621
21/01/2022;16;530
21/01/2022;17;698
21/01/2022;18;721
21/01/2022;19;611
21/01/2022;20;392
21/01/2022;21;216
21/01/2022;22;156
21/01/2022;23;87
21/01/2022;24;28
22/01/2022;9;141
22/01/2022;10;395
22/01/2022;11;524
22/01/2022;12;546
22/01/2022;13;456
22/01/2022;14;421
22/01/2022;15;397
22/01/2022;16;359
22/01/2022;17;353
22/01/2022;18;327
22/01/2022;19;375
22/01/2022;20;232
22/01/2022;21;121
22/01/2022;22;78
22/01/2022;23;39
22/01/2022;24;23
23/01/2022;9;38
23/01/2022;10;124
23/01/2022;11;269
23/01/2022;12;297
23/01/2022;13;236
23/01/2022;14;148
23/01/2022;15;205
23/01/2022;16;203
23/01/2022;17;204
23/01/2022;18;259
23/01/2022;19;235
23/01/2022;20;180
23/01/2022;21;145
23/01/2022;22;151
23/01/2022;23;94
23/01/2022;24;17
24/01/2022;9;280
24/01/2022;10;678
24/01/2022;11;881
24/01/2022;12;931
24/01/2022;13;841
24/01/2022;14;623
24/01/2022;15;642
24/01/2022;16;709
24/01/2022;17;810
24/01/2022;18;736
24/01/2022;19;608
24/01/2022;20;454
24/01/2022;21;292
24/01/2022;22;124
24/01/2022;23;67
24/01/2022;24;24
25/01/2022;9;260
25/01/2022;10;782
25/01/2022;11;806
25/01/2022;12;924
25/01/2022;13;832
25/01/2022;14;717
25/01/2022;15;852
25/01/2022;16;752
25/01/2022;17;756
25/01/2022;18;770
25/01/2022;19;733
25/01/2022;20;579
25/01/2022;21;223
25/01/2022;22;208
25/01/2022;23;71
25/01/2022;24;33
26/01/2022;9;219
26/01/2022;10;789
26/01/2022;11;869
26/01/2022;12;852
26/01/2022;13;824
26/01/2022;14;561
26/01/2022;15;630
26/01/2022;16;614
26/01/2022;17;669
26/01/2022;18;634
26/01/2022;19;622
26/01/2022;20;413
26/01/2022;21;258
26/01/2022;22;139
26/01/2022;23;55
26/01/2022;24;20
27/01/2022;9;245
27/01/2022;10;731
27/01/2022;11;913
27/01/2022;12;893
27/01/2022;13;822
27/01/2022;14;568
27/01/2022;15;729
27/01/2022;16;666
27/01/2022;17;737
27/01/2022;18;755
27/01/2022;19;606
27/01/2022;20;442
27/01/2022;21;341
27/01/2022;22;161
27/01/2022;23;76
27/01/2022;24;19
28/01/2022;9;255
28/01/2022;10;696
28/01/2022;11;819
28/01/2022;12;871
28/01/2022;13;751
28/01/2022;14;574
28/01/2022;15;535
28/01/2022;16;627
28/01/2022;17;684
28/01/2022;18;689
28/01/2022;19;619
28/01/2022;20;375
28/01/2022;21;235
28/01/2022;22;108
28/01/2022;23;61
28/01/2022;24;22
29/01/2022;9;145
29/01/2022;10;403
29/01/2022;11;504
29/01/2022;12;516
29/01/2022;13;562
29/01/2022;14;384
29/01/2022;15;361
29/01/2022;16;307
29/01/2022;17;383
29/01/2022;18;360
29/01/2022;19;357
29/01/2022;20;213
29/01/2022;21;124
29/01/2022;22;84
29/01/2022;23;41
29/01/2022;24;22
30/01/2022;9;57
30/01/2022;10;152
30/01/2022;11;228
30/01/2022;12;197
30/01/2022;13;192
30/01/2022;14;192
30/01/2022;15;197
30/01/2022;16;160
30/01/2022;17;178
30/01/2022;18;178
30/01/2022;19;223
30/01/2022;20;174
30/01/2022;21;102
30/01/2022;22;71
30/01/2022;23;41
30/01/2022;24;14
31/01/2022;9;229
31/01/2022;10;673
31/01/2022;11;932
31/01/2022;12;904
31/01/2022;13;797
31/01/2022;14;609
31/01/2022;15;766
31/01/2022;16;807
31/01/2022;17;801
31/01/2022;18;936
31/01/2022;19;767
31/01/2022;20;532
31/01/2022;21;304
31/01/2022;22;139
31/01/2022;23;73
31/01/2022;24;18
01/02/2022;9;267
01/02/2022;10;654
01/02/2022;11;857
01/02/2022;12;870
01/02/2022;13;774
01/02/2022;14;592
01/02/2022;15;662
01/02/2022;16;741
01/02/2022;17;740
01/02/2022;18;766
01/02/2022;19;721
01/02/2022;20;472
01/02/2022;21;306
01/02/2022;22;139
01/02/2022;23;73
01/02/2022;24;18
02/02/2022;9;269
02/02/2022;10;700
02/02/2022;11;804
02/02/2022;12;966
02/02/2022;13;828
02/02/2022;14;657
02/02/2022;15;691
02/02/2022;16;597
02/02/2022;17;700
02/02/2022;18;777
02/02/2022;19;779
02/02/2022;20;525
02/02/2022;21;323
02/02/2022;22;171
02/02/2022;23;81
02/02/2022;24;32
03/02/2022;9;270
03/02/2022;10;619
03/02/2022;11;941
03/02/2022;12;825
03/02/2022;13;785
03/02/2022;14;632
03/02/2022;15;689
03/02/2022;16;655
03/02/2022;17;651
03/02/2022;18;707
03/02/2022;19;763
03/02/2022;20;516
03/02/2022;21;309
03/02/2022;22;155
03/02/2022;23;69
03/02/2022;24;28
04/02/2022;9;227
04/02/2022;10;609
04/02/2022;11;797
04/02/2022;12;844
04/02/2022;13;745
04/02/2022;14;477
04/02/2022;15;560
04/02/2022;16;633
04/02/2022;17;819
04/02/2022;18;875
04/02/2022;19;651
04/02/2022;20;541
04/02/2022;21;295
04/02/2022;22;179
04/02/2022;23;102
04/02/2022;24;22
05/02/2022;9;219
05/02/2022;10;435
05/02/2022;11;507
05/02/2022;12;525
05/02/2022;13;485
05/02/2022;14;428
05/02/2022;15;349
05/02/2022;16;343
05/02/2022;17;346
05/02/2022;18;396
05/02/2022;19;316
05/02/2022;20;246
05/02/2022;21;167
05/02/2022;22;68
05/02/2022;23;41
05/02/2022;24;24
06/02/2022;9;89
06/02/2022;10;168
06/02/2022;11;180
06/02/2022;12;217
06/02/2022;13;212
06/02/2022;14;149
06/02/2022;15;146
06/02/2022;16;145
06/02/2022;17;180
06/02/2022;18;157
06/02/2022;19;174
06/02/2022;20;134
06/02/2022;21;120
06/02/2022;22;85
06/02/2022;23;27
06/02/2022;24;8
07/02/2022;9;286
07/02/2022;10;721
07/02/2022;11;933
07/02/2022;12;670
