date;hour;value
01/01/2020;9;15
01/01/2020;10;58
01/01/2020;11;98
01/01/2020;12;152
01/01/2020;13;150
01/01/2020;14;118
01/01/2020;15;115
01/01/2020;16;136
01/01/2020;17;139
01/01/2020;18;133
01/01/2020;19;165
01/01/2020;20;162
01/01/2020;21;123
01/01/2020;22;49
01/01/2020;23;30
01/01/2020;24;9
02/01/2020;9;111
02/01/2020;10;973
02/01/2020;11;1.246
02/01/2020;12;1.313
02/01/2020;13;1.110
02/01/2020;14;1.041
02/01/2020;15;986
02/01/2020;16;1.018
02/01/2020;17;1.008
02/01/2020;18;952
02/01/2020;19;991
02/01/2020;20;685
02/01/2020;21;384
02/01/2020;22;118
02/01/2020;23;55
02/01/2020;24;21
03/01/2020;9;112
03/01/2020;10;990
03/01/2020;11;1.262
03/01/2020;12;1.378
03/01/2020;13;1.240
03/01/2020;14;859
03/01/2020;15;984
03/01/2020;16;997
03/01/2020;17;1.049
03/01/2020;18;999
03/01/2020;19;749
03/01/2020;20;622
03/01/2020;21;300
03/01/2020;22;95
03/01/2020;23;29
03/01/2020;24;8
04/01/2020;9;62
04/01/2020;10;568
04/01/2020;11;768
04/01/2020;12;796
04/01/2020;13;722
04/01/2020;14;569
04/01/2020;15;485
04/01/2020;16;575
04/01/2020;17;525
04/01/2020;18;471
04/01/2020;19;442
04/01/2020;20;261
04/01/2020;21;171
04/01/2020;22;53
04/01/2020;23;20
04/01/2020;24;12
05/01/2020;9;37
05/01/2020;10;121
05/01/2020;11;178
05/01/2020;12;229
05/01/2020;13;198
05/01/2020;14;194
05/01/2020;15;141
05/01/2020;16;136
05/01/2020;17;140
05/01/2020;18;173
05/01/2020;19;160
05/01/2020;20;134
05/01/2020;21;86
05/01/2020;22;40
05/01/2020;23;31
05/01/2020;24;7
06/01/2020;9;31
06/01/2020;10;210
06/01/2020;11;258
06/01/2020;12;322
06/01/2020;13;271
06/01/2020;14;214
06/01/2020;15;209
06/01/2020;16;209
06/01/2020;17;204
06/01/2020;18;199
06/01/2020;19;219
06/01/2020;20;202
06/01/2020;21;131
06/01/2020;22;49
06/01/2020;23;17
06/01/2020;24;8
07/01/2020;9;130
07/01/2020;10;1.081
07/01/2020;11;1.328
07/01/2020;12;1.453
07/01/2020;13;1.332
07/01/2020;14;977
07/01/2020;15;1.020
07/01/2020;16;1.129
07/01/2020;17;1.099
07/01/2020;18;1.137
07/01/2020;19;1.039
07/01/2020;20;798
07/01/2020;21;429
07/01/2020;22;107
07/01/2020;23;29
07/01/2020;24;14
08/01/2020;9;120
08/01/2020;10;904
08/01/2020;11;1.233
08/01/2020;12;1.310
08/01/2020;13;1.267
08/01/2020;14;1.020
08/01/2020;15;899
08/01/2020;16;965
08/01/2020;17;1.033
08/01/2020;18;1.046
08/01/2020;19;1.010
08/01/2020;20;671
08/01/2020;21;403
08/01/2020;22;88
08/01/2020;23;42
08/01/2020;24;7
09/01/2020;9;151
09/01/2020;10;1.028
09/01/2020;11;1.081
09/01/2020;12;1.185
09/01/2020;13;1.137
09/01/2020;14;946
09/01/2020;15;918
09/01/2020;16;846
09/01/2020;17;999
09/01/2020;18;976
09/01/2020;19;952
09/01/2020;20;678
09/01/2020;21;369
09/01/2020;22;121
09/01/2020;23;38
09/01/2020;24;15
10/01/2020;9;133
10/01/2020;10;1.165
10/01/2020;11;1.407
10/01/2020;12;1.358
10/01/2020;13;1.060
10/01/2020;14;936
10/01/2020;15;971
10/01/2020;16;1.054
10/01/2020;17;1.143
10/01/2020;18;985
10/01/2020;19;1.034
10/01/2020;20;588
10/01/2020;21;417
10/01/2020;22;86
10/01/2020;23;24
10/01/2020;24;8
11/01/2020;9;77
11/01/2020;10;888
11/01/2020;11;1.065
11/01/2020;12;1.123
11/01/2020;13;889
11/01/2020;14;578
11/01/2020;15;611
11/01/2020;16;600
11/01/2020;17;586
11/01/2020;18;584
11/01/2020;19;435
11/01/2020;20;371
11/01/2020;21;194
11/01/2020;22;37
11/01/2020;23;14
11/01/2020;24;9
12/01/2020;9;24
12/01/2020;10;114
12/01/2020;11;175
12/01/2020;12;235
12/01/2020;13;182
12/01/2020;14;119
12/01/2020;15;137
12/01/2020;16;152
12/01/2020;17;172
12/01/2020;18;167
12/01/2020;19;199
12/01/2020;20;131
12/01/2020;21;81
12/01/2020;22;29
12/01/2020;23;11
12/01/2020;24;8
13/01/2020;9;134
13/01/2020;10;1.308
13/01/2020;11;1.377
13/01/2020;12;1.436
13/01/2020;13;1.317
13/01/2020;14;1.100
13/01/2020;15;1.049
13/01/2020;16;995
13/01/2020;17;1.162
13/01/2020;18;1.245
13/01/2020;19;1.186
13/01/2020;20;858
13/01/2020;21;404
13/01/2020;22;103
13/01/2020;23;31
13/01/2020;24;7
14/01/2020;9;124
14/01/2020;10;1.173
14/01/2020;11;1.269
14/01/2020;12;1.328
14/01/2020;13;1.109
14/01/2020;14;1.002
14/01/2020;15;1.058
14/01/2020;16;1.057
14/01/2020;17;1.137
14/01/2020;18;1.007
14/01/2020;19;1.059
14/01/2020;20;825
14/01/2020;21;427
14/01/2020;22;77
14/01/2020;23;25
14/01/2020;24;18
15/01/2020;9;122
15/01/2020;10;1.175
15/01/2020;11;1.433
15/01/2020;12;1.404
15/01/2020;13;1.347
15/01/2020;14;946
15/01/2020;15;1.422
15/01/2020;16;1.270
15/01/2020;17;1.232
15/01/2020;18;1.268
15/01/2020;19;897
15/01/2020;20;924
15/01/2020;21;498
15/01/2020;22;93
15/01/2020;23;27
15/01/2020;24;10
16/01/2020;9;135
16/01/2020;10;980
16/01/2020;11;1.231
16/01/2020;12;1.228
16/01/2020;13;1.098
16/01/2020;14;829
16/01/2020;15;754
16/01/2020;16;951
16/01/2020;17;928
16/01/2020;18;989
16/01/2020;19;936
16/01/2020;20;684
16/01/2020;21;410
16/01/2020;22;90
16/01/2020;23;31
16/01/2020;24;8
17/01/2020;9;135
17/01/2020;10;896
17/01/2020;11;924
17/01/2020;12;1.079
17/01/2020;13;984
17/01/2020;14;790
17/01/2020;15;839
17/01/2020;16;818
17/01/2020;17;879
17/01/2020;18;923
17/01/2020;19;854
17/01/2020;20;643
17/01/2020;21;250
17/01/2020;22;76
17/01/2020;23;20
17/01/2020;24;10
18/01/2020;9;52
18/01/2020;10;593
18/01/2020;11;750
18/01/2020;12;754
18/01/2020;13;707
18/01/2020;14;522
18/01/2020;15;511
18/01/2020;16;462
18/01/2020;17;500
18/01/2020;18;441
18/01/2020;19;448
18/01/2020;20;381
18/01/2020;21;205
18/01/2020;22;60
18/01/2020;23;32
18/01/2020;24;12
19/01/2020;9;55
19/01/2020;10;195
19/01/2020;11;321
19/01/2020;12;310
19/01/2020;13;332
19/01/2020;14;265
19/01/2020;15;256
19/01/2020;16;222
19/01/2020;17;204
19/01/2020;18;237
19/01/2020;19;207
19/01/2020;20;183
19/01/2020;21;103
19/01/2020;22;39
19/01/2020;23;18
19/01/2020;24;6
20/01/2020;9;101
20/01/2020;10;862
20/01/2020;11;1.187
20/01/2020;12;1.286
20/01/2020;13;1.109
20/01/2020;14;933
20/01/2020;15;811
20/01/2020;16;883
20/01/2020;17;1.016
20/01/2020;18;1.079
20/01/2020;19;1.048
20/01/2020;20;683
20/01/2020;21;412
20/01/2020;22;92
20/01/2020;23;38
20/01/2020;24;11
21/01/2020;9;131
21/01/2020;10;990
21/01/2020;11;1.066
21/01/2020;12;1.154
21/01/2020;13;1.099
21/01/2020;14;826
21/01/2020;15;865
21/01/2020;16;772
21/01/2020;17;913
21/01/2020;18;988
21/01/2020;19;921
21/01/2020;20;650
21/01/2020;21;335
21/01/2020;22;92
21/01/2020;23;29
21/01/2020;24;7
22/01/2020;9;145
22/01/2020;10;989
22/01/2020;11;1.150
22/01/2020;12;1.044
22/01/2020;13;1.086
22/01/2020;14;898
22/01/2020;15;955
22/01/2020;16;941
22/01/2020;17;941
22/01/2020;18;960
22/01/2020;19;890
22/01/2020;20;701
22/01/2020;21;334
22/01/2020;22;75
22/01/2020;23;29
22/01/2020;24;4
23/01/2020;9;88
23/01/2020;10;829
23/01/2020;11;902
23/01/2020;12;1.016
23/01/2020;13;969
23/01/2020;14;710
23/01/2020;15;821
23/01/2020;16;835
23/01/2020;17;905
23/01/2020;18;851
23/01/2020;19;728
23/01/2020;20;742
23/01/2020;21;435
23/01/2020;22;106
23/01/2020;23;35
23/01/2020;24;12
24/01/2020;9;129
24/01/2020;10;798
24/01/2020;11;1.004
24/01/2020;12;1.006
24/01/2020;13;869
24/01/2020;14;704
24/01/2020;15;664
24/01/2020;16;828
24/01/2020;17;860
24/01/2020;18;906
24/01/2020;19;853
24/01/2020;20;505
24/01/2020;21;316
24/01/2020;22;63
24/01/2020;23;32
24/01/2020;24;5
25/01/2020;9;58
25/01/2020;10;614
25/01/2020;11;676
25/01/2020;12;807
25/01/2020;13;684
25/01/2020;14;510
25/01/2020;15;480
25/01/2020;16;406
25/01/2020;17;481
25/01/2020;18;504
25/01/2020;19;436
25/01/2020;20;259
25/01/2020;21;157
25/01/2020;22;51
25/01/2020;23;9
25/01/2020;24;7
26/01/2020;9;19
26/01/2020;10;127
26/01/2020;11;184
26/01/2020;12;175
26/01/2020;13;173
26/01/2020;14;112
26/01/2020;15;145
26/01/2020;16;146
26/01/2020;17;152
26/01/2020;18;167
26/01/2020;19;148
26/01/2020;20;124
26/01/2020;21;107
26/01/2020;22;23
26/01/2020;23;12
26/01/2020;24;4
27/01/2020;9;118
27/01/2020;10;1.081
27/01/2020;11;1.363
27/01/2020;12;1.358
27/01/2020;13;1.224
27/01/2020;14;913
27/01/2020;15;1.023
27/01/2020;16;1.072
27/01/2020;17;1.166
27/01/2020;18;1.210
27/01/2020;19;1.050
27/01/2020;20;834
27/01/2020;21;444
27/01/2020;22;90
27/01/2020;23;26
27/01/2020;24;12
28/01/2020;9;132
28/01/2020;10;1.029
28/01/2020;11;1.278
28/01/2020;12;1.395
28/01/2020;13;1.190
28/01/2020;14;902
28/01/2020;15;936
28/01/2020;16;996
28/01/2020;17;1.027
28/01/2020;18;1.106
28/01/2020;19;1.073
28/01/2020;20;749
28/01/2020;21;425
28/01/2020;22;108
28/01/2020;23;27
28/01/2020;24;9
29/01/2020;9;122
29/01/2020;10;1.039
29/01/2020;11;1.030
29/01/2020;12;1.179
29/01/2020;13;1.047
29/01/2020;14;861
29/01/2020;15;832
29/01/2020;16;770
29/01/2020;17;971
29/01/2020;18;1.062
29/01/2020;19;1.002
29/01/2020;20;700
29/01/2020;21;336
29/01/2020;22;97
29/01/2020;23;29
29/01/2020;24;7
30/01/2020;9;99
30/01/2020;10;885
30/01/2020;11;1.132
30/01/2020;12;972
30/01/2020;13;939
30/01/2020;14;745
30/01/2020;15;764
30/01/2020;16;741
30/01/2020;17;793
30/01/2020;18;877
30/01/2020;19;870
30/01/2020;20;614
30/01/2020;21;343
30/01/2020;22;56
30/01/2020;23;26
30/01/2020;24;6
31/01/2020;9;102
31/01/2020;10;756
31/01/2020;11;926
31/01/2020;12;878
31/01/2020;13;813
31/01/2020;14;565
31/01/2020;15;629
31/01/2020;16;692
31/01/2020;17;777
31/01/2020;18;830
31/01/2020;19;577
31/01/2020;20;514
31/01/2020;21;268
31/01/2020;22;58
31/01/2020;23;20
31/01/2020;24;5
01/02/2020;9;68
01/02/2020;10;475
01/02/2020;11;594
01/02/2020;12;699
01/02/2020;13;625
01/02/2020;14;443
01/02/2020;15;361
01/02/2020;16;406
01/02/2020;17;400
01/02/2020;18;382
01/02/2020;19;402
01/02/2020;20;254
01/02/2020;21;144
01/02/2020;22;24
01/02/2020;23;21
01/02/2020;24;10
02/02/2020;9;21
02/02/2020;10;142
02/02/2020;11;149
02/02/2020;12;190
02/02/2020;13;153
02/02/2020;14;96
02/02/2020;15;119
02/02/2020;16;103
02/02/2020;17;123
02/02/2020;18;142
02/02/2020;19;157
02/02/2020;20;129
02/02/2020;21;80
02/02/2020;22;32
02/02/2020;23;14
02/02/2020;24;5
03/02/2020;9;108
03/02/2020;10;869
03/02/2020;11;1.069
03/02/2020;12;1.003
03/02/2020;13;1.022
03/02/2020;14;824
03/02/2020;15;830
03/02/2020;16;815
03/02/2020;17;856
03/02/2020;18;930
03/02/2020;19;912
03/02/2020;20;636
03/02/2020;21;385
03/02/2020;22;76
03/02/2020;23;25
03/02/2020;24;13
04/02/2020;9;92
04/02/2020;10;819
04/02/2020;11;974
04/02/2020;12;972
04/02/2020;13;715
04/02/2020;14;643
04/02/2020;15;753
04/02/2020;16;717
04/02/2020;17;791
04/02/2020;18;901
04/02/2020;19;725
04/02/2020;20;558
04/02/2020;21;347
04/02/2020;22;68
04/02/2020;23;34
04/02/2020;24;11
05/02/2020;9;117
05/02/2020;10;719
05/02/2020;11;994
05/02/2020;12;980
05/02/2020;13;815
05/02/2020;14;683
05/02/2020;15;600
05/02/2020;16;748
05/02/2020;17;777
05/02/2020;18;875
05/02/2020;19;820
05/02/2020;20;511
05/02/2020;21;306
05/02/2020;22;70
05/02/2020;23;24
05/02/2020;24;9
06/02/2020;9;110
06/02/2020;10;772
06/02/2020;11;860
06/02/2020;12;1.002
06/02/2020;13;878
06/02/2020;14;698
06/02/2020;15;689
06/02/2020;16;636
06/02/2020;17;802
06/02/2020;18;821
06/02/2020;19;798
06/02/2020;20;520
06/02/2020;21;277
06/02/2020;22;56
06/02/2020;23;20
06/02/2020;24;11
07/02/2020;9;98
07/02/2020;10;753
07/02/2020;11;840
07/02/2020;12;712
07/02/2020;13;727
07/02/2020;14;594
07/02/2020;15;593
07/02/2020;16;618
07/02/2020;17;569
07/02/2020;18;692
07/02/2020;19;651
07/02/2020;20;456
07/02/2020;21;222
07/02/2020;22;67
07/02/2020;23;22
07/02/2020;24;8
08/02/2020;9;60
08/02/2020;10;377
08/02/2020;11;588
08/02/2020;12;552
08/02/2020;13;488
08/02/2020;14;408
08/02/2020;15;356
08/02/2020;16;373
08/02/2020;17;374
08/02/2020;18;338
08/02/2020;19;325
08/02/2020;20;240
08/02/2020;21;132
08/02/2020;22;43
08/02/2020;23;18
08/02/2020;24;9
09/02/2020;9;34
09/02/2020;10;107
09/02/2020;11;144
09/02/2020;12;167
09/02/2020;13;141
09/02/2020;14;130
09/02/2020;15;101
09/02/2020;16;113
09/02/2020;17;118
09/02/2020;18;126
09/02/2020;19;144
09/02/2020;20;96
09/02/2020;21;68
09/02/2020;22;33
09/02/2020;23;10
09/02/2020;24;7
10/02/2020;9;94
10/02/2020;10;930
10/02/2020;11;957
10/02/2020;12;1.114
10/02/2020;13;1.019
10/02/2020;14;849
10/02/2020;15;850
10/02/2020;16;852
10/02/2020;17;1.040
10/02/2020;18;1.158
10/02/2020;19;1.053
10/02/2020;20;840
10/02/2020;21;417
10/02/2020;22;118
10/02/2020;23;22
10/02/2020;24;12
11/02/2020;9;133
11/02/2020;10;1.291
11/02/2020;11;1.262
11/02/2020;12;1.176
11/02/2020;13;1.147
11/02/2020;14;905
11/02/2020;15;906
11/02/2020;16;968
11/02/2020;17;894
11/02/2020;18;1.047
11/02/2020;19;920
11/02/2020;20;709
11/02/2020;21;422
11/02/2020;22;69
11/02/2020;23;36
11/02/2020;24;9
12/02/2020;9;112
12/02/2020;10;1.186
12/02/2020;11;1.251
12/02/2020;12;1.190
12/02/2020;13;945
12/02/2020;14;830
12/02/2020;15;908
12/02/2020;16;997
12/02/2020;17;1.029
12/02/2020;18;965
12/02/2020;19;922
12/02/2020;20;696
12/02/2020;21;405
12/02/2020;22;87
12/02/2020;23;25
12/02/2020;24;11
13/02/2020;9;132
13/02/2020;10;1.097
13/02/2020;11;1.195
13/02/2020;12;1.106
13/02/2020;13;1.016
13/02/2020;14;844
13/02/2020;15;747
13/02/2020;16;888
13/02/2020;17;922
13/02/2020;18;969
13/02/2020;19;781
13/02/2020;20;576
13/02/2020;21;377
13/02/2020;22;79
13/02/2020;23;30
13/02/2020;24;6
14/02/2020;9;141
14/02/2020;10;1.066
14/02/2020;11;983
14/02/2020;12;1.246
14/02/2020;13;1.080
14/02/2020;14;763
14/02/2020;15;825
14/02/2020;16;743
14/02/2020;17;877
14/02/2020;18;939
14/02/2020;19;736
14/02/2020;20;509
14/02/2020;21;255
14/02/2020;22;63
14/02/2020;23;17
14/02/2020;24;3
15/02/2020;9;88
15/02/2020;10;532
15/02/2020;11;683
15/02/2020;12;592
15/02/2020;13;633
15/02/2020;14;428
15/02/2020;15;419
15/02/2020;16;408
15/02/2020;17;389
15/02/2020;18;398
15/02/2020;19;367
15/02/2020;20;257
15/02/2020;21;119
15/02/2020;22;42
15/02/2020;23;15
15/02/2020;24;5
16/02/2020;9;29
16/02/2020;10;110
16/02/2020;11;176
16/02/2020;12;216
16/02/2020;13;167
16/02/2020;14;154
16/02/2020;15;146
16/02/2020;16;121
16/02/2020;17;135
16/02/2020;18;136
16/02/2020;19;157
16/02/2020;20;123
16/02/2020;21;78
16/02/2020;22;33
16/02/2020;23;13
16/02/2020;24;4
17/02/2020;9;116
17/02/2020;10;826
17/02/2020;11;1.112
17/02/2020;12;1.054
17/02/2020;13;868
17/02/2020;14;797
17/02/2020;15;723
